Name,Lat,Long,Country,Pole Position,Length in meters,Width in meters,Right Corners,Left Corners,Longest Straight,Constructed,Modified
Circuito de Jerez,36.7081,-6.0345,ES,Left,4423,11,8,5,607,1986,2002
Circuit Of The Americas,30.1328,-97.6368,US,Right,5513,15,9,11,1200,2012,2012
Rio Hondo,-27.4875,-64.9471,AR,Left,4806,16,9,5,1076,2008,2013
Portimao,37.2277,-8.6267,PT,Left,4592,18,9,6,970,2008,2008
Lusail International Circuit,25.4713,51.4909,QA,Left,5380,12,10,6,1068,2004,2004
Pertamina Mandalika Circuit,-8.8817,116.2763,ID,Left,4301,15,6,11,723,2021,2021
Le Mans,47.9568,0.2071,FR,Left,4185,13,9,5,674,1966,2008
Mugello,43.9975,11.3719,IT,Right,5245,14,9,6,1141,1974,1974
Circuit de Barcelona - Catalunya,41.5698,2.2581,ES,Left,4657,12,8,6,1047,1991,2021
Sachsenring,50.7078,12.7958,DE,Left,3671,12,3,10,700,1996,2003
TT Circuit Assen,52.9577,6.5362,NL,Left,4542,14,12,6,487,1955,2012
Silverstone Circuit,52.0738,-1.0163,GB,Left,5900,15,10,8,770,1948,2010
Spielberg,47.2197,14.7647,AT,Left,4348,12,8,3,810,1997,2022
Misano,43.9575,12.7177,IT,Left,4226,12,10,6,530,1972,2007
MotorLand Aragon,41.0714,-0.1884,ES,Right,5077,15,7,10,968,2009,2009
Motegi,36.5558,140.2281,JP,Left,4801,15,8,6,762,1997,1997
Chang International Circuit,14.8692,101.6532,TH,Left,4554,12,7,5,1000,2014,2014
Phillip Island,-38.5225,145.2407,AU,Left,4448,13,5,7,900,1956,1988
Sepang International Circuit,2.7608,101.7373,MY,Left,5543,16,10,5,920,1998,1998
Circuit Ricardo Tormo,39.4816,-0.5844,ES,Right,4005,12,5,9,876,1999,1999
Automotodrom Brno,49.2104,16.4584,CZ,Left,5403,15,8,6,636,1987,1996
Shanghai Circuit,31.3389,121.2202,CN,Left,5281,14,7,7,1202,2004,2004
Laguna Seca,36.5842,-121.7531,US,Right,3610,15,4,7,966,1957,1996
