id,name,country
1,Unknown,?
2,Honda,JP
3,Ducati,IT
4,Yamaha,JP
5,Suzuki,JP
6,KTM,AT
7,Aprilia,IT
8,Triumph,GB
9,MV Agusta,IT
10,Benelli,IT
11,Bimota,IT
12,BMW,DE
13,Cagiva,IT
14,CZ,CZ
15,Gilera,IT
16,Harley Davidson,US
17,Jawa,CZ
18,Jawa-CZ,CZ
19,Kawasaki,JP
20,Malaguti,IT
21,Moto Guzzi,IT
22,Peugeot,FR
23,AJS,?
24,Norton,?
25,Velocette,?
26,Rudge,?
27,Excelsior,?
28,Mondial,?
29,Morini,?
30,LB,?
31,Sparta,?
32,Montesa,?
33,Parilla,?
34,EMC-Puch,?
35,DKW,?
36,Horex,?
37,NSU,?
38,Matchless,?
39,Adler,?
40,Lube,?
41,IFA,?
42,LEF,?
43,MZ,?
44,GMS-NSU,?
45,Aermacchi,?
46,EMC,?
47,Bultaco,?
48,Bianchi,?
49,Koenig,?
50,Kreidler,?
51,S350,?
52,S250,?
53,Tohatsu,?
54,Ckb,?
55,Maico,?
56,Pyrkijca,?
57,Zanella,?
58,Ckeb,?
59,Greeves,?
60,Paton,?
61,Assmex,?
62,Derbi,?
63,Vostok,?
64,Bridgestone,?
65,Husqvarna,?
66,Royal Enfield,?
67,Cotton,?
68,Villiers,?
69,Seeley,?
70,Reimo,?
71,Hannah Paton,?
72,Jamathi,?
73,Linto,?
74,Metisse,?
75,Ossa,?
76,Brown Special,?
77,Westlake,?
78,Librenti,?
79,Tomos,?
80,Garelli,?
81,Rabassa,?
82,Broad-Yamaha,?
83,Rotax,?
84,Villa,?
85,Kuhn Seeley,?
86,Padgett Yamaha,?
87,Cowles Matchless,?
88,Morbidelli,?
89,Brown,?
90,MZ-RE,?
91,Crooks Suzuki,?
92,Minarelli,?
93,Muench,?
94,Liengme,?
95,Cemoto,?
96,Manx,?
97,Malanca,?
98,Monark,?
99,Yamaha-Yamsel,?
100,Seel Yamaha,?
101,Yamsel,?
102,ARTER-AJS,?
103,Chat Yamaha,?
104,Lee-Yamaha,?
105,Dugdale Yamaha,?
106,Yamasaki,?
107,Hemeyla,?
