id,first_name,last_name,country,number
1,Leslie,Graham,GBR,
2,Nello,Pagani,ITA,
3,Arciso,Artesiani,ITA,
4,William,Doran,GBR,
5,Artie,Bell,IRL,
6,Harold,Daniell,GBR,
7,John,Lockett,GBR,
8,Ernie,Lyons,IRL,
9,Enrico,Lorenzetti,ITA,
10,Gianni,Leoni,ITA,
11,Jock,West,GBR,
12,Sid,Jensen,NZE,
13,Bruno,Bertacchini,ITA,
14,Freddie,Frith,GBR,
15,Fred,Stevens,GBR,
16,Reg,Armstrong,IRL,
17,Bob,Foster,GBR,
18,Manliefe,Barrington,IRL,
19,Tommy,Wood,GBR,
20,Roland,Pike,GBR,
21,Ronald,Mead,GBR,
22,S.A.,Sørensen,DAN,
23,Guido,Leoni,ITA,
24,Keith,Armstrong,GBR,
25,Bruno,Ruffo,ITA,
26,Dario,Ambrosini,ITA,
27,Fergus,Anderson,GBR,
28,Claudio,Mastellari,ITA,
29,Benoit,Musy,SWI,
30,Renato,Magi,ITA,
31,Celeste,Cavaciuti,ITA,
32,Carlo,Ubbiali,ITA,
33,Umberto,Masetti,ITA,
34,Franco,Bertoni,ITA,
35,David,Whitworth,GBR,
36,Eric,McPherson,AUS,
37,E.,Frend,GBR,
38,Oscar,Clemencigh,ITA,
39,Giuseppe,Matucci,ITA,
40,Cromie,McCandless,IRL,
41,Charlie,Salt,GBR,
42,F.,Fry,GBR,
43,Dickie,Dale,GBR,
44,Maurice,Cann,GBR,
45,G.A.,Reeve,GBR,
46,Douglas,Beasley,GBR,
47,Bruno,Francisci,ITA,
48,Umberto,Braga,ITA,
49,Geoff,Duke,GBR,
50,Carlos,Bandirola,ITA,
51,Harry,Hinton,AUS,
52,Alfredo,Milani,ITA,
53,Len,Bayliss,GBR,
54,Arnold,Jones,GBR,
55,Eric,Hinton,AUS,
56,Bill,Lomas,GBR,
57,Felice,Benasedo,ITA,
58,Gijs,Lagervey,NED,
59,Claudio,Belotti,SWI,
60,Onorato,Francone,ITA,
61,Cecyl,Sandford,GBR,
62,Wilf,Billington,IRL,
63,A.,Burton,GBR,
64,G.,Andrews,GBR,
65,Keith,Campbell,AUS,
66,Alano,Montanari,ITA,
67,Umberto,Plebani,ITA,
68,Luigi,Zinzani,ITA,
69,Raffaele,Alberti,ITA,
70,Emilio,Soprani,ITA,
71,Russell,Wood,RSA,
72,Ken,Kavanagh,AUS,
73,Sante,Geminiani,?,
74,Tommy,McEwan,?,
75,Roger,Montane,SPA,
76,Jack,Brett,GBR,
77,A.,Parry,GBR,
78,Vaclav,Parus,TCH,
79,Ernesto,Vidal,SPA,
80,Willy,Lips,SWI,
81,W.,Petch,GBR,
82,F.,Aranda,SPA,
83,J.,Raffeld,BEL,
84,Johnny,Grace,GIB,
85,Vincenzo,Zanzi,ITA,
86,J.,Bultó,SPA,
87,Antonio,Elizalde,SPA,
88,P.,Fuhrer,SWI,
89,Sid,Mason,GBR,
90,L.,Fassl,AUT,
91,Nino,Grieco,ITA,
92,Phillip,McCallen,GBR,
93,Mick,Featherstone,GBR,
94,Juan,Llobet,SPA,
95,V.,Perry,NZE,
96,Rod,Coleman,NZE,
97,Simon,Sandys-Winsch,GBR,
98,Bob,Matthews,IRL,
99,Emilio,Mendogni,ITA,
100,Bob,Anderson,GBR,
101,Werner,Gerber,SWI,
102,Guido,Paciocca,ITA,
103,Romolo,Ferri,ITA,
104,Otello,Spadoni,ITA,
105,Ray,Amm,RHO,
106,Sid,Lawton,GBR,
107,Giuseppe,Colnago,ITA,
108,Phil,Carter,IRL,
109,Auguste,Goffin,BEL,
110,Hans,Baltisberger,GER,
111,John,Surtees,GBR,
112,Bob,Gehring,USA,
113,George,Brown,GBR,
114,Angelo,Copeta,ITA,
115,Frank,Burman,GBR,
116,Arthur,Wheeler,GBR,
117,Bill,Webster,GBR,
118,Sijbren,Postma,NED,
119,Guido,Sala,ITA,
120,Lo,Simons,NED,
121,Ewald,Kluge,GER,
122,Ernie,Ring,AUT,
123,Roland,Felgenheier,GER,
124,Hans,Thorn-Prikker,GER,
125,Herman,Gablenz,GER,
126,Werner,Haas,GER,
127,Hubert,Luttenberg,GER,
128,Mike,O'Rourke,IRL,
129,Beny,Rood,GBR,
130,Ray,Petty,GBR,
131,Robin,Sherry,GBR,
132,Bert,Schneider,AUT,
133,Roberto,Colombo,ITA,
134,Hermann Paul,Müller,GER,
135,Libero,Liberati,ITA,
136,Derek,Farrant,GBR,
137,Peter,Davey,GBR,
138,Ken,Mudford,NZE,
139,Hans,Müller,SWI,
140,Eric,Wünsche,GER,
141,S.A.,Willis,AUS,
142,A.W.,Jones,GBR,
143,Dreikus,Veer,NED,
144,Pierre,Monneret,FRA,
145,J.,Albisser,SWI,
146,Benjamin,Laurent,NZE,
147,Bob,Mcintyre,GBR,
148,H.A.,Pearce,GBR,
149,Roberto,Teneggi,ITA,
150,Ken,Harwood,GBR,
151,Otto,Daiker,GER,
152,Tino,Forconi,ITA,
153,Fron,Purslow,GBR,
154,Karl,Hoffmann,GER,
155,Duilio,Agostini,ITA,
156,August,Hobl,GER,
157,L.T.,Simpson,NZE,
158,A.,McAlpine,AUT,
159,Wolfgang,Brandt,GER,
160,Paolo,Campanelli,ITA,
161,Jaques,Collot,ITA,
162,Leon,Martin,BEL,
163,Alberto,Pagani,ITA,
164,Luigi,Taveri,SWI,
165,Rudy,Allison,RSA,
166,G.,Julian,GBR,
167,,,?,
168,Colin,Clark,AUS,
169,George,Murphy,NZE,
170,Firmin,Dauwe,BEL,
171,Rupert,Hollaus,AUT,
172,Lanfranco,Baviera,ITA,
173,John,Clark,GBR,
174,J.,Lloyd,GBR,
175,Sigfried,Wünsche,GER,
176,Karl,Lottes,GER,
177,Georg,Braun,GER,
178,Helmut,Hallmeier,GER,
179,Walter,Reichert,GER,
180,Walter,Vogel,GER,
181,Kurt,Knopf,GER,
182,Angelo,Marelli,ITA,
183,Tarquinio,Provini,ITA,
184,Massimo,Genevini,ITA,
185,Willi,Scheidhauer,GER,
186,Juan,Bertran,SPA,
187,C.,Paragues,SPA,
188,V.,Corsin,SPA,
189,John,Hartle,GBR,
190,Walter,Zeller,GER,
191,Orlando,Valdinoci,ITA,
192,Bob,Brown,AUS,
193,Eddie,Grant,RSA,
194,John,Storr,GBR,
195,Ernst,Riedelbauch,GER,
196,Derek,Ennett,GBR,
197,Jack,Ahearn,AUS,
198,Giuseppe,Lattanzi,ITA,
199,Marcello,Cama,SPA,
200,Maurice,Quincey,AUS,
201,Ricky,Porter,NZE,
202,Remo,Venturi,ITA,
203,K.,Pertrusche,GER,
204,Erhart,Krumpholz,GER,
205,Hans,Bartl,NED,
206,Rudolf,Grimas,AUT,
207,Sammy,Miller,IRL,
208,Keith,Bryen,AUS,
209,Gerold,Klinger,?,
210,Geoffrey,Tanner,GBR,
211,R.W.,Herron,GBR,
212,P.B.,Fahey,NZE,
213,Ernst,Hiller,GER,
214,Alan,Trow,GBR,
215,Horst,Kassner,GER,
216,Franzisen,Bartos,TCH,
217,Francisco,Gonzales,SPA,
218,Alex,Sirera,SPA,
219,Dave,Chadwick,GBR,
220,Jiri,Kostir,TCH,
221,Kees,Koster,NED,
222,Jean Pierre,Bayle,FRA,
223,Fortunato,Libanori,ITA,
224,Roland,Heck,GER,
225,W.,Maddrick,GBR,
226,Maurice,Bula,SWI,
227,E.,Cope,IRL,
228,Renato,Sartori,ITA,
229,Sandro,Artusi,ITA,
230,Alan,Shepherd,GBR,
231,Derek,Minter,GBR,
232,Hans Gunter,Jaeger,GER,
233,Terry,Shepherd,GBR,
234,R.,Thomson,AUT,
235,Horst,Fügner,GER,
236,Ernst,Degner,GER,
237,Franta,Stastny,TCH,
238,Günter,Beer,GER,
239,Brian,Purslow,GBR,
240,Tommy,Robb,IRL,
241,Clive,Brown,GBR,
242,Neil Hodgson,Hodgins,GBR,
243,Adelmo,Mandolini,ITA,
244,Gary,Hocking,RHO,
245,J.D.,Anderson,NZE,
246,Mike,Hailwood,GBR,
247,G.A.,Catlin,GBR,
248,Alistair,King,GBR,
249,Dieter,Falk,GER,
250,Alberto,Gandossi,ITA,
251,Jack,Findlay,AUS,
252,Xaver,Heiss,GER,
253,Walter,Brehme,GER,
254,Werner,Musiol,GER,
255,Geoff,Monty,GBR,
256,Josef,Autengruber,AUT,
257,Wilhem,Lecke,GER,
258,Giampiero,Zubani,ITA,
259,Bruno,Spaggiari,ITA,
260,Francesco,Villa,ITA,
261,A.,Vezzalini,ITA,
262,Andrew,Duke,AUS,
263,John,Hempleman,NZE,
264,D.T.,Powell,GBR,
265,Paddy,Driver,RSA,
266,Jim,Redman,RHO,
267,Ron,Miles,AUS,
268,A.,Huber,GER,
269,Rudolf,Thalhammer,AUT,
270,Naomi,Taniguchi,JPN,
271,Giichi,Suzuki,JPN,
272,Kenjiro,Tanaka,JPN,
273,Junzo,Suzuki,JPN,
274,Ernesto,Brambilla,ITA,
275,Karl,Kronmueller,GER,
276,Tom,Phillis,AUS,
277,Gilberto,Milani,ITA,
278,Ralph,Rensen,GBR,
279,Ladi,Richter,AUT,
280,Fumio,Ito,JPN,
281,Rudolf,Glaeser,GER,
282,Frank,Perris,GBR,
283,Moto,Kitano,JPN,
