id,name,country
1,?,?
2,Gauloises Yamaha Team,?
3,Movistar Honda MotoGP,?
4,Camel Honda,?
5,Kawasaki Racing Team,?
6,Repsol Honda Team,?
7,JIR Konica Minolta Honda,?
8,Ducati Marlboro Team,?
9,Fortuna Yamaha Team,?
10,Team Suzuki MotoGP,?
11,D’Antin MotoGP - Pramac,?
12,Blata WCM,?
13,Team Roberts,?
14,Telefonica Movistar Honda 250cc,?
15,Aprilia Aspar 250cc,?
16,MS Aprilia Italia Corse,?
17,Team Scot,?
18,Fortuna Honda,?
19,Carrera Sunglasses - LCR,?
20,Wurth Honda BQR,?
21,Matteoni Racing,?
22,Aprilia Germany,?
23,Campetella Racing,?
24,Abruzzo Racing Team,?
25,Equipe GP de France - Scrab,?
26,Team UGT Kurz,?
27,Arie Molenaar Racing,?
28,Andalucia Mas Racing,?
29,Nocable.it Race,?
30,Scuderia Fantic Motor GP,?
31,Kiefer-Bos-Castrol Honda,?
32,Mas Racing Team,?
33,Red Bull KTM GP125,?
34,Master Aspar,?
35,Elit Grand Prix,?
36,Kopron Racing World,?
37,Metis Racing Team,?
38,Ajo Motorsport,?
39,Seedorf RC3 - Tiempo Holidays,?
40,Totti Top Sport - NGS,?
41,Caja Madrid - Derbi Racing,?
42,Angaia Racing,?
43,MVA Aspar,?
44,Malaguti Reparto Corse,?
45,LG Mobile Galicia Team,?
46,Road Racing Team Hungary,?
47,Semprucci Cardion Blauer,?
48,Omv Team Hanusch,?
49,Konica Minolta Honda,?
50,Moriwaki Racing,?
51,Yamaha Kurtz,?
52,Team Yamaha China Tianjian,?
53,Zongshen Racing Team,?
54,Team D’Antin Pramac,?
55,Zongshen Team of China,?
56,Yamaha Kurz,?
57,Skilled I.S.P.A. Racing Team,?
58,Equipe de France Espoire,?
59,Tecmas Balladins Racing,?
60,Teams RMS Bigstore,?
61,TVX Racing,?
62,Sebring Mas Racing,?
63,Kuja Racing,?
64,RCGM Team FMI,?
65,Racing Service,?
66,Red Bull ADAC KTM Juniors,?
67,AB Cardion Blauer USA,?
68,3C Racing Junior,?
69,Varenhof Racing Team,?
70,Team Stop & Go,?
71,Jaap Kingma Racing,?
72,Team Kurz Prista Oil,?
73,De Arand Filart Racing,?
74,Team Toth,?
75,Jan Bakker Auto's Elburg,?
76,Litjens Racing,?
77,MVA Master Aspar Team,?
78,Yamaha Factory Racing,?
79,Honda Pons,?
80,Red Bull Suzuki,?
81,Ducati Team,?
82,Red Bull KTM GP250,?
83,KRP/teamlinfootracing.com,?
84,E3 Motorsport,?
85,KRP/sunnybeachvillas.com,?
86,www.spi2racing.com,?
87,UK1 Racing,?
88,NRG Racing,?
89,Mototechnic Castrol Racing,?
90,Motorrad Unger Racing,?
91,ADAC Sachsen Juniors,?
92,Sramek Racing Promotion,?
93,Mayer Racing Passau,?
94,Hanusch Motopromotion,?
95,Heron Racing Team,?
96,Semprucci Blauer USA,?
97,AB Cardion Team,?
98,Team d’Antin Pramac,?
99,Dydo Miu Racing Team,?
100,Team Moto Space,?
101,Henkel Danke J Racing,?
102,Team Harc-Pro,?
103,RT Morinokumasan Sato Jyuku,?
104,Jha Racing,?
105,Hamamoto Racing Team,?
106,Club Plus One,?
107,LG Mobile Ssmracing,?
108,Team Yamaha Kurz,?
109,Yamaha Indonesia,?
110,Leigh-Smith Racing,?
111,Allect Racing,?
112,Honda LCR,?
113,Rizla Suzuki MotoGP,?
114,Camel Yamaha Team,?
115,Tech 3 Yamaha,?
116,Pramac d'Antín MotoGP,?
117,Fortuna Aprilia,?
118,Master - MVA Aspar Team,?
119,Humangest Racing Team,?
120,Red Bull KTM GP 250,?
121,Equipe GP De France - Scrab,?
122,TicinoHosting Campetella Racing,?
123,Andalucia Team Mas,?
124,Kiefer - Bos - Racing,?
125,WTR Blauer USA,?
126,Stop And Go Racing Team,?
127,Cardion AB Motoracing,?
128,Squadra Corse Metis Gilera,?
129,Repsol Honda,?
130,Nocable Angaia Racing,?
131,Aprilia Racing,?
132,Derbi Racing,?
133,Red Bull KTM GP 125,?
134,SSM Racing,?
135,Multimedia Racing,?
136,Malaguti Ajo Corse,?
137,TicinoHosting Campetella JNR Team,?
138,Elit - Caffe Latte,?
139,Red Bull KTM Junior Team,?
140,FFM Honda Grand Prix 125,?
141,Valsir Seedorf Racing,?
142,Honda BQR,?
143,Quinto Almoradi,?
144,3C Racing,?
145,Lambea TMM Racing,?
146,Yamaha Tianjian Racing Team,?
147,China Zongshen Team,?
148,Benelli QJ Team of China,?
149,Campetella Racing Junior,?
150,Teng Tools Winona Racing,?
151,TVX Racing-CTR Distribution,?
152,Villiers Team Competition,?
153,VFT Racing,?
154,Grillini Racing,?
155,Agesta Racing,?
156,Ticinohosting-MTR,?
157,RCGM Team,?
158,Team RACC Derbi,?
