Year,Circuit,OfficialName,Class,RiderName,Position
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Valentino Rossi,1
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Sete Gibernau,2
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Marco Melandri,3
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Alex Barros,8
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Shinya Nakano,5
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Troy Bayliss,9
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Max Biaggi,16
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Makoto Tamada,7
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Colin Edwards,15
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Carlos Checa,12
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Alex Hofmann,10
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Toni Elias,13
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Loris Capirossi,6
2005,GP di Spagna,Jerez de la Frontera,MotoGP,John Hopkins,11
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Roberto Rolfo,18
2005,GP di Spagna,Jerez de la Frontera,MotoGP,James Ellison,21
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Franco Battaini,19
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Ruben Xaus,17
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Nicky Hayden,4
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Kenny Roberts Jr,14
2005,GP di Spagna,Jerez de la Frontera,MotoGP,Shane Byrne,20
2005,GP del Portogallo,Estoril,MotoGP,Alex Barros,1
2005,GP del Portogallo,Estoril,MotoGP,Valentino Rossi,4
2005,GP del Portogallo,Estoril,MotoGP,Max Biaggi,8
2005,GP del Portogallo,Estoril,MotoGP,Marco Melandri,5
2005,GP del Portogallo,Estoril,MotoGP,Carlos Checa,3
2005,GP del Portogallo,Estoril,MotoGP,Colin Edwards,7
2005,GP del Portogallo,Estoril,MotoGP,Nicky Hayden,9
2005,GP del Portogallo,Estoril,MotoGP,Shinya Nakano,10
2005,GP del Portogallo,Estoril,MotoGP,Loris Capirossi,6
2005,GP del Portogallo,Estoril,MotoGP,Ruben Xaus,12
2005,GP del Portogallo,Estoril,MotoGP,Troy Bayliss,13
2005,GP del Portogallo,Estoril,MotoGP,Kenny Roberts Jr,14
2005,GP del Portogallo,Estoril,MotoGP,Roberto Rolfo,16
2005,GP del Portogallo,Estoril,MotoGP,Toni Elias,15
2005,GP del Portogallo,Estoril,MotoGP,James Ellison,17
2005,GP del Portogallo,Estoril,MotoGP,Shane Byrne,18
2005,GP del Portogallo,Estoril,MotoGP,Sete Gibernau,2
2005,GP del Portogallo,Estoril,MotoGP,John Hopkins,11
2005,GP del Portogallo,Estoril,MotoGP,Franco Battaini,19
2005,GP di Cina,Shanghai,MotoGP,Valentino Rossi,6
2005,GP di Cina,Shanghai,MotoGP,Olivier Jacque,15
2005,GP di Cina,Shanghai,MotoGP,Marco Melandri,2
2005,GP di Cina,Shanghai,MotoGP,Sete Gibernau,1
2005,GP di Cina,Shanghai,MotoGP,Max Biaggi,14
2005,GP di Cina,Shanghai,MotoGP,Jurgen van den Goorbergh,19
2005,GP di Cina,Shanghai,MotoGP,John Hopkins,4
2005,GP di Cina,Shanghai,MotoGP,Colin Edwards,13
2005,GP di Cina,Shanghai,MotoGP,Nicky Hayden,5
2005,GP di Cina,Shanghai,MotoGP,Ruben Xaus,16
2005,GP di Cina,Shanghai,MotoGP,Alex Barros,11
2005,GP di Cina,Shanghai,MotoGP,Loris Capirossi,3
2005,GP di Cina,Shanghai,MotoGP,James Ellison,21
2005,GP di Cina,Shanghai,MotoGP,Toni Elias,8
2005,GP di Cina,Shanghai,MotoGP,Tohru Ukawa,18
2005,GP di Cina,Shanghai,MotoGP,Roberto Rolfo,17
2005,GP di Cina,Shanghai,MotoGP,Franco Battaini,20
2005,GP di Cina,Shanghai,MotoGP,Kenny Roberts Jr,9
2005,GP di Cina,Shanghai,MotoGP,Troy Bayliss,12
2005,GP di Cina,Shanghai,MotoGP,Carlos Checa,7
2005,GP di Cina,Shanghai,MotoGP,Shinya Nakano,10
2005,GP di Francia,Le Mans,MotoGP,Valentino Rossi,1
2005,GP di Francia,Le Mans,MotoGP,Sete Gibernau,4
2005,GP di Francia,Le Mans,MotoGP,Colin Edwards,2
2005,GP di Francia,Le Mans,MotoGP,Marco Melandri,3
2005,GP di Francia,Le Mans,MotoGP,Max Biaggi,8
2005,GP di Francia,Le Mans,MotoGP,Nicky Hayden,5
2005,GP di Francia,Le Mans,MotoGP,Loris Capirossi,10
2005,GP di Francia,Le Mans,MotoGP,Shinya Nakano,6
2005,GP di Francia,Le Mans,MotoGP,Toni Elias,12
2005,GP di Francia,Le Mans,MotoGP,Troy Bayliss,15
2005,GP di Francia,Le Mans,MotoGP,Olivier Jacque,13
2005,GP di Francia,Le Mans,MotoGP,Ruben Xaus,16
2005,GP di Francia,Le Mans,MotoGP,Kenny Roberts Jr,14
2005,GP di Francia,Le Mans,MotoGP,Jurgen van den Goorbergh,19
2005,GP di Francia,Le Mans,MotoGP,Roberto Rolfo,18
2005,GP di Francia,Le Mans,MotoGP,John Hopkins,7
2005,GP di Francia,Le Mans,MotoGP,Franco Battaini,21
2005,GP di Francia,Le Mans,MotoGP,Alex Barros,11
2005,GP di Francia,Le Mans,MotoGP,James Ellison,20
2005,GP di Francia,Le Mans,MotoGP,Carlos Checa,9
2005,GP di Francia,Le Mans,MotoGP,Shane Byrne,17
2005,GP d'Italia,Mugello,MotoGP,Valentino Rossi,1
2005,GP d'Italia,Mugello,MotoGP,Max Biaggi,3
2005,GP d'Italia,Mugello,MotoGP,Loris Capirossi,6
2005,GP d'Italia,Mugello,MotoGP,Marco Melandri,7
2005,GP d'Italia,Mugello,MotoGP,Carlos Checa,8
2005,GP d'Italia,Mugello,MotoGP,Nicky Hayden,4
2005,GP d'Italia,Mugello,MotoGP,Alex Barros,13
2005,GP d'Italia,Mugello,MotoGP,Makoto Tamada,10
2005,GP d'Italia,Mugello,MotoGP,Colin Edwards,12
2005,GP d'Italia,Mugello,MotoGP,Shinya Nakano,9
2005,GP d'Italia,Mugello,MotoGP,John Hopkins,5
2005,GP d'Italia,Mugello,MotoGP,Alex Hofmann,14
2005,GP d'Italia,Mugello,MotoGP,Troy Bayliss,17
2005,GP d'Italia,Mugello,MotoGP,Ruben Xaus,15
2005,GP d'Italia,Mugello,MotoGP,Kenny Roberts Jr,11
2005,GP d'Italia,Mugello,MotoGP,Shane Byrne,18
2005,GP d'Italia,Mugello,MotoGP,Roberto Rolfo,19
2005,GP d'Italia,Mugello,MotoGP,Franco Battaini,21
2005,GP d'Italia,Mugello,MotoGP,David Checa,16
2005,GP d'Italia,Mugello,MotoGP,Sete Gibernau,2
2005,GP d'Italia,Mugello,MotoGP,James Ellison,20
2005,GP di Catalogna,Catalogna,MotoGP,Valentino Rossi,3
2005,GP di Catalogna,Catalogna,MotoGP,Sete Gibernau,1
2005,GP di Catalogna,Catalogna,MotoGP,Marco Melandri,2
2005,GP di Catalogna,Catalogna,MotoGP,Alex Barros,9
2005,GP di Catalogna,Catalogna,MotoGP,Nicky Hayden,5
2005,GP di Catalogna,Catalogna,MotoGP,Max Biaggi,4
2005,GP di Catalogna,Catalogna,MotoGP,Colin Edwards,7
2005,GP di Catalogna,Catalogna,MotoGP,Troy Bayliss,15
2005,GP di Catalogna,Catalogna,MotoGP,Shinya Nakano,12
2005,GP di Catalogna,Catalogna,MotoGP,Ruben Xaus,16
2005,GP di Catalogna,Catalogna,MotoGP,Carlos Checa,8
2005,GP di Catalogna,Catalogna,MotoGP,Loris Capirossi,6
2005,GP di Catalogna,Catalogna,MotoGP,David Checa,18
2005,GP di Catalogna,Catalogna,MotoGP,Roberto Rolfo,17
